tid,text,datetime,lang,location,place,source,retweeted,user,q_text
1190821259820617728,"American billionaires: 607
Americans in poverty: 38M

CEO/worker pay ratio: 278:1

Wealth of 3 richest Americans: $345B…",2019-11-03 02:41:27,en,"Washington, D.C.",,"""http://twitter.com""",2146,Too_Much_Online,worker
1190821218322022400,such a handsome part time worker https://t.co/NUmZArhbGR,2019-11-03 02:41:17,en,vrvr only,,"""http://twitter.com/download/iphone""",0,gyedungs,worker
1190821216900329474,"PENSION savers have been issued with a “stark warning” it has been said, after new figures suggest a worker on average e…",2019-11-03 02:41:17,en,,,"""http://twitter.com/download/android""",5,Ninepenneth,worker
1190821129474265088,"The amount of money that the so-called ""gig economy"" companies are spending to defeat recently passed worker protectio…",2019-11-03 02:40:56,en,"Urbana, IL",,"""https://mobile.twitter.com""",25,donald_planey,worker
1190821103654060032,@Kno I recognize Johnnie Worker. https://t.co/hEnVhSWWLA,2019-11-03 02:40:50,en,"Chicago, IL",,"""http://twitter.com/download/android""",0,DrBourbonstein,worker
1190821103616155648,"An airline worker who dressed up for Halloween has offended social media users, with some calling saying she should be sac…",2019-11-03 02:40:50,en,,,"""http://twitter.com/download/android""",1,krishworlds,worker
1190821041494544385,"Walmart CEO’s salary last year: $23,618,233
A Walmart worker’s median pay last year: $21,952

The issue isn’t that these emplo…",2019-11-03 02:40:35,en,,,"""http://twitter.com/#!/download/ipad""",14330,CHARRWeb,worker
1190821004693721094,"Supervisor: Why do I always have to come looking for you 

Me: Because a good worker is hard to find 🤷🏽‍♀️😭😭😭😭",2019-11-03 02:40:26,en,Florida ,,"""http://twitter.com/download/iphone""",28,Eri_berriQueen,worker
1190820928264929280,A prominent social worker surnamed Chan was tackled to the ground by riot police and is now being retained. Chan is ofte…,2019-11-03 02:40:08,en,Hong Kong,,"""http://twitter.com/download/iphone""",787,shabani_Mee,worker
1190820911647084544,I’m office worker (age 28) https://t.co/nPztmMjwRN,2019-11-03 02:40:04,en,Tranquility Base Hotel+Casino,,"""http://twitter.com/download/iphone""",0,heavxnsdior,worker
1190820894207356929,"An airline worker who dressed up for Halloween has offended social media users, with some calling saying she should be sacked. Thoughts?
https://t.co/AU3wXI7zl5",2019-11-03 02:40:00,en,Australia,,"""https://about.twitter.com/products/tweetdeck""",1,newscomauHQ,worker
1190820759616180227,Independence...Rally...Glasgow...Photo...ruling...Scottish National Party...SNP...US...Auto...Worker...Union...President...Step...Down...Amid...Corruption...Probe...WASHINGTON...President...United...Auto...Workers...UAW...Gary Jones...leaving...post...om...federal...corruption,2019-11-03 02:39:28,en,,,"""https://mobile.twitter.com""",0,kizu91,worker
1190820755854036992,"@demonicdollyyy I’m not even a sex worker, but from what I can tell, yeah that’s a pretty common mindset 😂",2019-11-03 02:39:27,en,,,"""http://twitter.com/download/iphone""",0,KFootsub,worker
1190820740347490304,"way maker
miracle worker
promise keeper
light in the darkness
my God, that is who you are.",2019-11-03 02:39:23,en,"Tarlac City, Central Luzon",,"""http://twitter.com/download/android""",0,KristhaSantos,worker
1190820707929714688,"The privatisation (or ""not privatisation"" as the Govt says) will lead to:
- increased costs of visas
- greater risks of work…",2019-11-03 02:39:15,en,"Gold Coast, Queensland",,"""https://mobile.twitter.com""",92,mormorlady,worker
1190820681161809922,"Pucci at Taco Bell, which minimum wage worker will he yell at https://t.co/Qyg82GDKBH",2019-11-03 02:39:09,en,,,"""https://about.twitter.com/products/tweetdeck""",29,togzogthetits,worker
1190820645216686080,"Thank you President Trump for all you do each and every day for the American worker.  We love you, God Bless you.  Thank you for making your home in Florida. We welcome your beautiful family. https://t.co/WjE1rikJHb",2019-11-03 02:39:00,en,"Tampa, FL",,"""http://twitter.com/#!/download/ipad""",0,GloriaB95897401,worker
1190820642712633345,@realDonaldTrump Congress said in 1990 that H-1B would only be used as temp guest worker program for truly exceptional tale…,2019-11-03 02:39:00,en,"Texas, USA",,"""http://twitter.com/download/android""",189,chachalaca,worker
